Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
30,0.5,With Helmet,0.66,"(141,98,170,142)"
30,0.5,With Helmet,0.54,"(463,153,508,210)"
30,0.5,No Helmet,0.40,"(473,98,511,154)"
30,0.5,No Helmet,0.37,"(750,139,799,206)"
30,0.5,With Helmet,0.35,"(347,105,391,168)"
31,0.52,With Helmet,0.65,"(142,99,172,143)"
31,0.52,With Helmet,0.58,"(459,153,507,212)"
31,0.52,No Helmet,0.41,"(478,99,514,153)"
31,0.52,No Helmet,0.36,"(747,140,801,206)"
31,0.52,With Helmet,0.34,"(346,105,390,170)"
32,0.53,With Helmet,0.61,"(455,152,507,214)"
32,0.53,With Helmet,0.56,"(144,99,172,142)"
32,0.53,No Helmet,0.44,"(747,141,803,206)"
32,0.53,With Helmet,0.35,"(346,106,390,170)"
32,0.53,With Helmet,0.31,"(477,99,516,149)"
32,0.53,No Helmet,0.30,"(500,145,530,202)"
33,0.55,With Helmet,0.62,"(461,153,507,212)"
33,0.55,No Helmet,0.52,"(501,145,532,204)"
33,0.55,With Helmet,0.43,"(145,99,174,143)"
33,0.55,No Helmet,0.31,"(748,143,811,207)"
33,0.55,With Helmet,0.30,"(345,106,389,171)"
34,0.57,With Helmet,0.57,"(456,150,506,212)"
34,0.57,No Helmet,0.44,"(746,141,803,207)"
34,0.57,With Helmet,0.38,"(344,105,389,169)"
34,0.57,No Helmet,0.37,"(501,147,532,205)"
34,0.57,With Helmet,0.37,"(146,99,174,142)"
34,0.57,No Helmet,0.26,"(485,100,523,150)"
35,0.58,With Helmet,0.48,"(146,99,176,142)"
35,0.58,With Helmet,0.41,"(343,105,388,170)"
35,0.58,No Helmet,0.41,"(746,142,803,208)"
35,0.58,No Helmet,0.39,"(491,99,524,151)"
35,0.58,No Helmet,0.38,"(501,151,532,206)"
35,0.58,With Helmet,0.25,"(451,150,506,213)"
36,0.6,With Helmet,0.59,"(147,98,177,143)"
36,0.6,No Helmet,0.58,"(491,97,528,152)"
36,0.6,No Helmet,0.44,"(745,142,801,209)"
